Feature,Mean_Absolute_SHAP,Random_Seed,Fold
numeric__campaign,0.14249990438585303,21,3
numeric__pdays,0.01536768140621085,21,3
numeric__previous,0.018530466943822415,21,3
categorical__job_admin.,0.03271250969740876,21,3
categorical__job_blue-collar,0.12317557833909011,21,3
categorical__job_entrepreneur,0.0009366288573693219,21,3
categorical__job_housemaid,0.012095586525818058,21,3
categorical__job_management,0.00045604242014941817,21,3
categorical__job_retired,0.06080677883504552,21,3
categorical__job_self-employed,0.007692163369749475,21,3
categorical__job_services,0.030486083351440877,21,3
categorical__job_student,0.024985457450791657,21,3
categorical__job_technician,0.015748552078422396,21,3
categorical__job_unemployed,0.006183282231516314,21,3
categorical__job_unknown,0.0007264967596738854,21,3
categorical__marital_divorced,0.013676437439322304,21,3
categorical__marital_married,0.06785959075584812,21,3
categorical__marital_single,0.06829935890353013,21,3
categorical__education_primary,0.060384153160017454,21,3
categorical__education_secondary,0.004802714513025369,21,3
categorical__education_tertiary,0.06664833087217398,21,3
categorical__education_unknown,0.0003746128109589033,21,3
categorical__default_no,0.01341726166954428,21,3
categorical__default_yes,0.017523583022182255,21,3
categorical__housing_no,0.1795208008111249,21,3
categorical__housing_yes,0.20510665996500863,21,3
categorical__loan_no,0.05280711149137628,21,3
categorical__loan_yes,0.06463348256444706,21,3
categorical__contact_cellular,0.23128691632945764,21,3
categorical__contact_telephone,0.05179745395802378,21,3
categorical__contact_unknown,0.44249495685464624,21,3
categorical__month_apr,0.014108799100525203,21,3
categorical__month_aug,0.2198571640542398,21,3
categorical__month_dec,0.0016185322332359204,21,3
categorical__month_feb,0.009269041932644785,21,3
categorical__month_jan,0.11398919116154158,21,3
categorical__month_jul,0.23165322757361412,21,3
categorical__month_jun,0.038689426610762766,21,3
categorical__month_mar,0.006828281460873883,21,3
categorical__month_may,0.2942740638978753,21,3
categorical__month_nov,0.1765064469118838,21,3
categorical__month_oct,0.014032749033939728,21,3
categorical__month_sep,0.050466700224337115,21,3
categorical__poutcome_failure,0.1122017057701048,21,3
categorical__poutcome_other,0.026423142790643978,21,3
categorical__poutcome_success,0.09086833125649056,21,3
categorical__poutcome_unknown,0.23690260822029846,21,3
numeric__age,0.018657714745801968,52,1
numeric__balance,0.027483122412718622,52,1
numeric__day,0.016773484881217392,52,1
numeric__duration,1.1426281033403178,52,1
numeric__campaign,0.19640655555068298,52,1
numeric__pdays,0.0309766788923593,52,1
numeric__previous,0.034916842315506645,52,1
categorical__job_admin.,0.0377722626184212,52,1
categorical__job_blue-collar,0.08284713036916563,52,1
categorical__job_entrepreneur,0.008186142821551142,52,1
categorical__job_housemaid,0.01977375010418499,52,1
categorical__job_management,0.0018226840061337309,52,1
categorical__job_retired,0.03634778130358939,52,1
categorical__job_self-employed,0.003977562607125605,52,1
categorical__job_services,0.012581726365471294,52,1
categorical__job_student,0.0325019435924184,52,1
categorical__job_technician,0.02488172792725447,52,1
categorical__job_unemployed,0.0033478033011472823,52,1
categorical__job_unknown,0.0009323927535036217,52,1
categorical__marital_divorced,0.005175918438938184,52,1
categorical__marital_married,0.08682421206828322,52,1
categorical__marital_single,0.06657225403726968,52,1
categorical__education_primary,0.057820474824896544,52,1
categorical__education_secondary,0.025874535424907048,52,1
categorical__education_tertiary,0.07556674109555594,52,1
categorical__education_unknown,0.00990972278215276,52,1
categorical__default_no,0.0012273107290832375,52,1
categorical__default_yes,0.0014379673098316684,52,1
categorical__housing_no,0.18154485376017643,52,1
categorical__housing_yes,0.17785851602586222,52,1
categorical__loan_no,0.07699556253533567,52,1
categorical__loan_yes,0.07502008548287493,52,1
categorical__contact_cellular,0.26913829180289295,52,1
categorical__contact_telephone,0.05690784474662264,52,1
categorical__contact_unknown,0.45465238491522836,52,1
categorical__month_apr,0.0007963993153987957,52,1
categorical__month_aug,0.20493669034488485,52,1
categorical__month_dec,0.001251750576890946,52,1
categorical__month_feb,0.03019086932470806,52,1
categorical__month_jan,0.06853524413800201,52,1
categorical__month_jul,0.29961668823840715,52,1
categorical__month_jun,0.06344204516020584,52,1
categorical__month_mar,0.011133583687355756,52,1
categorical__month_may,0.2887017643107475,52,1
categorical__month_nov,0.12251662471206104,52,1
categorical__month_oct,0.03129017273842504,52,1
categorical__month_sep,0.024421832674577624,52,1
categorical__poutcome_failure,0.09643720459928035,52,1
categorical__poutcome_other,0.03245532807237408,52,1
categorical__poutcome_success,0.13578006568845088,52,1
categorical__poutcome_unknown,0.23352508626089138,52,1
numeric__age,0.0010112613995951903,52,2
numeric__balance,0.024933501336280216,52,2
numeric__day,0.006471047489634148,52,2
numeric__duration,1.0276046617649477,52,2
numeric__campaign,0.16132043545458244,52,2
numeric__pdays,0.033732757883973265,52,2
numeric__previous,0.020386950874585467,52,2
categorical__job_admin.,0.05500376698741674,52,2
categorical__job_blue-collar,0.07878287262902842,52,2
categorical__job_entrepreneur,0.0021205311309200653,52,2
categorical__job_housemaid,0.010736470323515225,52,2
categorical__job_management,0.0025730716546234923,52,2
categorical__job_retired,0.04093607699115524,52,2
categorical__job_self-employed,0.014239669440803328,52,2
categorical__job_services,0.0351728822826898,52,2
categorical__job_student,0.02185065302538281,52,2
categorical__job_technician,0.006695913044215824,52,2
categorical__job_unemployed,0.005195747718695963,52,2
categorical__job_unknown,0.004610522950945941,52,2
categorical__marital_divorced,0.013947645630084502,52,2
categorical__marital_married,0.07431292608322412,52,2
categorical__marital_single,0.04873081723384032,52,2
categorical__education_primary,0.08760191475263968,52,2
categorical__education_secondary,0.023032304758362765,52,2
categorical__education_tertiary,0.06465696834062507,52,2
categorical__education_unknown,0.00998068289765602,52,2
categorical__default_no,0.002796041587689817,52,2
categorical__default_yes,0.0051082905517083645,52,2
categorical__housing_no,0.16433466683480183,52,2
categorical__housing_yes,0.20866357688019285,52,2
categorical__loan_no,0.06999135136894888,52,2
categorical__loan_yes,0.09296977565312212,52,2
categorical__contact_cellular,0.23922879171818756,52,2
categorical__contact_telephone,0.04987274409536065,52,2
categorical__contact_unknown,0.43582541823012244,52,2
categorical__month_apr,0.02934580745143135,52,2
categorical__month_aug,0.15443353959330272,52,2
categorical__month_dec,0.004766272770049701,52,2
categorical__month_feb,0.027417166131016243,52,2
categorical__month_jan,0.0554631998033314,52,2
categorical__month_jul,0.2153464212461931,52,2
categorical__month_jun,0.04309685861260584,52,2
categorical__month_mar,0.037092892004117264,52,2
categorical__month_may,0.29572024589380674,52,2
categorical__month_nov,0.1903088640594376,52,2
categorical__month_oct,0.0443264340155888,52,2
categorical__month_sep,0.006956860860127974,52,2
categorical__poutcome_failure,0.12559859901756104,52,2
categorical__poutcome_other,0.035892360087685427,52,2
categorical__poutcome_success,0.1151705460499991,52,2
categorical__poutcome_unknown,0.24443477663288876,52,2
numeric__age,0.039152541311666456,52,3
numeric__balance,0.02105528551359611,52,3
numeric__day,0.021361308295760283,52,3
numeric__duration,1.1967473293657862,52,3
numeric__campaign,0.19409416153638165,52,3
numeric__pdays,0.034169492618587545,52,3
numeric__previous,0.018787157154254226,52,3
categorical__job_admin.,0.03326431409960784,52,3
categorical__job_blue-collar,0.08658418565619753,52,3
categorical__job_entrepreneur,0.006325110493326343,52,3
categorical__job_housemaid,0.019723568605369994,52,3
categorical__job_management,0.0029352064754111585,52,3
categorical__job_retired,0.060779239911171644,52,3
categorical__job_self-employed,0.013207283020370221,52,3
categorical__job_services,0.02444726351603524,52,3
categorical__job_student,0.025151855939764482,52,3
categorical__job_technician,0.014661286293089966,52,3
categorical__job_unemployed,0.007078694645367533,52,3
categorical__job_unknown,9.7301762551952e-05,52,3
categorical__marital_divorced,0.003649278600751043,52,3
categorical__marital_married,0.06430940627115216,52,3
categorical__marital_single,0.055629702021211834,52,3
categorical__education_primary,0.06595867378079737,52,3
categorical__education_secondary,0.0031903679043288847,52,3
categorical__education_tertiary,0.0692279176843459,52,3
categorical__education_unknown,0.004297720206280538,52,3
categorical__default_no,0.0002004500732883534,52,3
